Sample name	Group
CRR274122	Group 1
CRR274124	Group 1
CRR274144	Group 1
CRR274150	Group 1
CRR274140	Group 1
CRR274151	Group 1
CRR274136	Group 1
CRR274147	Group 1
CRR274137	Group 1
CRR274123	Group 1
CRR274129	Group 1
CRR274131	Group 1
CRR274142	Group 1
CRR274133	Group 1
CRR274143	Group 1
CRR274138	Group 2
CRR274126	Group 2
CRR274139	Group 2
CRR274134	Group 2
CRR274152	Group 2
CRR274128	Group 2
CRR274132	Group 2
CRR274130	Group 2
CRR274127	Group 2
CRR274125	Group 2
CRR274121	Group 2
CRR274149	Group 2
CRR274148	Group 2
CRR274141	Group 2
CRR274135	Group 2
CRR274145	Group 2
CRR274146	Group 2
